rank;lex;num;ipm
404;прямо;95804;255.85260087145153
405;группа;95550;255.1742726114483
406;действительно;95274;254.4371915100275
407;ответ;95262;254.4051445056179
408;показать;95164;254.14342730293947
409;государственный;95085;253.93245119057627
410;российский;94654;252.7814296155314
411;армия;94502;252.3755008930098
412;совет;94319;251.88678407576342
413;"""";94302;251.84138415284977
414;двор;93734;250.32449261079532
415;порядок;93210;248.9251067515761
416;результат;93207;248.91709500047372
417;все-таки;93103;248.63935429559046
418;река;92525;247.09575691652802
419;море;92480;246.97558064999203
420;из-за;92306;246.5108990860528
421;рассказывать;92194;246.2117937115632
422;московский;92160;246.12099386573604
423;средство;91919;245.47738319384317
424;выходить;91902;245.43198327092958
425;н.;91553;244.49994955935034
426;иван;91366;244.00055040730072
427;войти;91223;243.6186569380863
428;существовать;90812;242.52104703705749
429;становиться;90587;241.92016570437747
430;причина;90386;241.38337838051666
431;важный;90356;241.30326086949265
432;лучший;90289;241.12433176153903
433;область;89926;240.15490987814863
434;четыре;89752;239.6902283142094
435;решение;89653;239.4258405278302
436;старик;89520;239.07065289562377
437;квартира;89332;238.56858315987336
438;простой;89175;238.14930151884775
439;6;88784;237.1051032918349
440;газета;88603;236.6217276419901
441;ряд;88560;236.5068925428557
442;государство;88510;236.3733633578157
443;происходить;88342;235.92470529608127
444;семья;87761;234.37309616591642
445;принимать;87527;233.7481795799292
446;кто-то;87285;233.1018983243356
447;забыть;87210;232.9016045467756
448;глядеть;87153;232.74938127583
449;добрый;87044;232.45828765244275
450;мама;86997;232.33277021850515
451;род;86866;231.98292375370033
452;как-то;86487;230.9707725310971
453;слишком;86475;230.9387255266875
454;весьма;86274;230.4019382028267
455;впрочем;86274;230.4019382028267
456;приходить;86271;230.3939264517243
457;гора;86224;230.26840901778667
458;менее;86108;229.9586213084939
459;далее;86039;229.7743510331387
460;солнце;86010;229.69690410581546
461;готовый;85949;229.53399850006667
462;ж;85390;228.04114221131942
463;зачем;85194;227.5177078059626
464;человеческий;85068;227.1812142596618
465;равный;84925;226.79932079044738
466;небо;84623;225.99280451280575
467;рядом;84366;225.30646450170013
468;неделя;84353;225.27174691358974
469;александр;84295;225.11685305894332
470;суд;84215;224.90320636287933
471;процесс;83856;223.9444668142921
472;проблема;83764;223.69877311381848
473;искать;83590;223.23409154987925
474;любой;83528;223.06851536042967
475;ибо;83462;222.89225683617684
476;брать;83460;222.88691566877526
477;правительство;83421;222.78276290444404
478;генерал;83385;222.68662189121525
479;вчера;83383;222.68128072381364
480;искусство;83379;222.67059838901045
481;воздух;83147;222.0510229704248
482;спрашивать;82736;220.953413069396
483;момент;82347;219.91455600978475
484;представлять;82153;219.39646277182953
485;автор;82077;219.1934984105687
486;умереть;82041;219.09735739733992
487;партия;82027;219.0599692255287
488;девушка;81900;218.7208050955271
489;плечо;81840;218.5605700734791
490;знакомый;81837;218.5525583223767
491;роль;81788;218.42169972103753
492;легко;81146;216.70718498512386
493;небольшой;81026;216.38671494102783
494;служить;80989;216.28790334409823
495;требовать;80836;215.87930403787584
496;член;80831;215.86595111937183
497;тяжелый;80821;215.8392452823638
498;идея;80485;214.941929158895
499;вера;80297;214.43985942314458
500;%;80256;214.33036549141178
